title,price RUB,rating,reviews,Screen Size in,Storage Capacity GB,RAM GB,Features,Brand,Model,Processor,Chipset Model,Lock Status,Network,Operating System,Connectivity,Camera Resolution MP,Colour_AT&T,Colour_Black,Colour_Blue,Colour_Gold,Colour_Green,Colour_Grey,Colour_Multicoloured,Colour_Pink,Colour_Purple,Colour_Red,Colour_Silver,Colour_Unknown,Colour_White,Colour_Yellow,product condition_Unknown,product condition_бу,product condition_восстановленное в хорошем состоянии,product condition_на запчасти,product condition_новое
215,92628.71,0.8,0.015625,0.005411255411255412,0.4995112414467253,0.09019607843137255,89,27,161,14,77,2,19,5,54,1.0,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False
214,92628.71,0.8,0.015625,0.005411255411255412,0.4995112414467253,0.09019607843137255,89,27,161,14,77,2,19,5,54,1.0,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False
217,87753.51,1.0,0.0078125,0.005411255411255412,0.4995112414467253,0.09019607843137255,89,27,161,14,77,2,19,5,54,1.0,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False
221,86778.47,0.8,0.015625,0.005411255411255412,0.4995112414467253,0.09019607843137255,89,27,161,14,77,2,19,5,54,1.0,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False
213,93603.74,0.8,0.015625,0.005411255411255412,0.4995112414467253,0.09019607843137255,89,27,161,14,77,2,19,5,54,1.0,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False
212,89996.1,1.0,0.0078125,0.005411255411255412,0.4995112414467253,0.09019607843137255,89,27,161,14,77,2,19,5,54,1.0,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False
218,86778.47,1.0,0.005859375,0.005411255411255412,0.4995112414467253,0.061817023793276,7,27,66,14,92,2,19,5,64,1.0,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False
216,92628.71,0.8,0.015625,0.005411255411255412,0.4995112414467253,0.09019607843137255,89,27,161,14,77,2,19,5,54,1.0,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False
220,91653.67,0.8,0.015625,0.005411255411255412,0.4995112414467253,0.09019607843137255,89,27,161,14,77,2,19,5,54,1.0,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False
211,86778.47,0.86,0.005859375,0.005411255411255412,0.24926686217008798,0.09019607843137255,89,27,161,14,77,2,19,5,54,1.0,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False
129,4187.79,0.8616241299303946,0.06579324841224019,0.0,0.1241446725317693,0.00392156862745098,49,20,106,27,92,2,19,5,7,0.0,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True
52,9749.41,0.8616241299303946,0.06579324841224019,0.008093434343434344,0.22425696986734306,0.061817023793276,81,6,44,30,92,7,18,15,64,0.26600449757589073,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False
125,1898.82,0.78,0.064453125,0.008093434343434344,0.22425696986734306,0.061817023793276,81,20,176,30,92,7,18,15,64,0.26600449757589073,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False
233,81415.76,1.0,0.0078125,0.006493506493506494,0.4995112414467253,0.09019607843137255,7,27,167,14,76,2,19,5,54,0.24962481240620313,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False
234,77710.61,0.8,0.001953125,0.006493506493506494,0.4995112414467253,0.09019607843137255,7,27,167,14,76,2,19,5,54,0.24962481240620313,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False
333,73030.42,0.8616241299303946,0.06579324841224019,0.005411255411255412,0.4995112414467253,0.09019607843137255,90,27,161,14,77,4,11,5,44,1.0,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True
219,86778.47,0.8,0.015625,0.005411255411255412,0.4995112414467253,0.09019607843137255,89,27,161,14,77,2,19,5,54,1.0,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False
215,92628.71,0.8,0.015625,0.005411255411255412,0.4995112414467253,0.09019607843137255,89,27,161,14,77,2,19,5,54,1.0,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False
214,92628.71,0.8,0.015625,0.005411255411255412,0.4995112414467253,0.09019607843137255,89,27,161,14,77,2,19,5,54,1.0,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False
217,87753.51,1.0,0.0078125,0.005411255411255412,0.4995112414467253,0.09019607843137255,89,27,161,14,77,2,19,5,54,1.0,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False
221,86778.47,0.8,0.015625,0.005411255411255412,0.4995112414467253,0.09019607843137255,89,27,161,14,77,2,19,5,54,1.0,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False
213,93603.74,0.8,0.015625,0.005411255411255412,0.4995112414467253,0.09019607843137255,89,27,161,14,77,2,19,5,54,1.0,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False
212,89996.1,1.0,0.0078125,0.005411255411255412,0.4995112414467253,0.09019607843137255,89,27,161,14,77,2,19,5,54,1.0,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False
218,86778.47,1.0,0.005859375,0.005411255411255412,0.4995112414467253,0.061817023793276,7,27,66,14,92,2,19,5,64,1.0,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False
216,92628.71,0.8,0.015625,0.005411255411255412,0.4995112414467253,0.09019607843137255,89,27,161,14,77,2,19,5,54,1.0,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False
220,91653.67,0.8,0.015625,0.005411255411255412,0.4995112414467253,0.09019607843137255,89,27,161,14,77,2,19,5,54,1.0,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False
211,86778.47,0.86,0.005859375,0.005411255411255412,0.24926686217008798,0.09019607843137255,89,27,161,14,77,2,19,5,54,1.0,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False
129,4187.79,0.8616241299303946,0.06579324841224019,0.0,0.1241446725317693,0.00392156862745098,49,20,106,27,92,2,19,5,7,0.0,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True
17,35003.9,0.8616241299303946,0.06579324841224019,0.005411255411255412,0.1241446725317693,0.027450980392156862,48,4,22,5,8,4,1,17,33,0.05952976488244122,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False
19,35003.9,0.8616241299303946,0.06579324841224019,0.005411255411255412,0.1241446725317693,0.027450980392156862,48,4,22,5,8,4,1,17,33,0.05952976488244122,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False
132,1898.82,0.9,0.00390625,0.008093434343434344,0.22425696986734306,0.061817023793276,81,20,107,30,92,7,18,15,64,0.26600449757589073,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False
1,2729.13,1.0,0.001953125,0.004329004329004329,0.030303030303030304,0.0196078431372549,81,1,17,30,92,4,1,5,59,0.02451225612806403,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True
72,68251.76,0.8616241299303946,0.06579324841224019,0.005411255411255412,0.1241446725317693,0.058823529411764705,17,12,72,14,20,4,12,5,16,0.24962481240620313,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False
18,35003.9,1.0,0.0078125,0.005411255411255412,0.1241446725317693,0.027450980392156862,48,4,22,5,8,4,1,17,33,0.05952976488244122,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False
235,3171.77,0.8616241299303946,0.06579324841224019,0.008093434343434344,0.22425696986734306,0.061817023793276,81,27,176,30,92,7,18,15,64,0.26600449757589073,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False
324,93602.77,0.8616241299303946,0.06579324841224019,0.008093434343434344,0.4995112414467253,0.09019607843137255,81,27,161,30,92,7,19,5,30,0.26600449757589073,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False
316,34414.0,0.0,0.0,0.005411255411255412,0.06158357771260997,0.027450980392156862,6,4,21,16,7,2,19,17,10,0.05952976488244122,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True
137,2641.38,0.86,0.017578125,0.008093434343434344,0.22425696986734306,0.061817023793276,81,20,176,30,92,7,18,15,64,0.26600449757589073,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False
177,2641.38,0.8,0.009765625,0.008093434343434344,0.22425696986734306,0.061817023793276,81,27,176,30,92,7,18,15,64,0.26600449757589073,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False
320,48654.45,1.0,0.009765625,0.005411255411255412,0.1241446725317693,0.043137254901960784,51,27,164,14,92,2,9,5,23,0.24962481240620313,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True
327,6824.3,0.8616241299303946,0.06579324841224019,0.005411255411255412,0.06158357771260997,0.027450980392156862,81,18,100,30,41,4,5,5,23,0.24962481240620313,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False
59,2121.59,0.8616241299303946,0.06579324841224019,0.008093434343434344,0.22425696986734306,0.061817023793276,81,35,176,30,92,7,18,15,64,0.26600449757589073,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False
246,8877.39,0.9800000000000001,0.021484375,0.005411255411255412,0.1241446725317693,0.043137254901960784,88,29,169,14,66,7,19,5,57,0.26600449757589073,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
197,2641.38,0.8616241299303946,0.06579324841224019,0.008093434343434344,0.22425696986734306,0.061817023793276,81,27,176,30,92,7,18,15,64,0.26600449757589073,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False
202,25838.53,0.0,0.0,0.005411255411255412,0.1241446725317693,0.058823529411764705,45,27,156,14,67,2,19,5,43,0.31965982991495745,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False
328,5072.25,0.0,0.0,0.004329004329004329,0.01466275659824047,0.011764705882352941,81,18,103,14,92,5,19,9,13,0.07953976988494246,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False
199,2641.38,1.0,0.00390625,0.008093434343434344,0.22425696986734306,0.061817023793276,81,27,176,30,92,7,18,15,64,0.26600449757589073,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False
344,2437.6,0.8616241299303946,0.06579324841224019,0.008093434343434344,0.1241446725317693,0.061817023793276,81,9,82,30,92,7,18,5,64,0.26600449757589073,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True
236,2641.38,0.8616241299303946,0.06579324841224019,0.008093434343434344,0.22425696986734306,0.061817023793276,81,27,176,30,92,7,18,15,64,0.26600449757589073,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False
145,3171.77,0.8616241299303946,0.06579324841224019,0.008093434343434344,0.22425696986734306,0.061817023793276,81,20,176,30,92,7,18,15,64,0.26600449757589073,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False
134,4232.57,0.8616241299303946,0.06579324841224019,0.008093434343434344,0.22425696986734306,0.058823529411764705,81,20,176,30,92,7,18,15,64,0.26600449757589073,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False
249,6340.63,0.9199999999999999,0.009765625,0.004329004329004329,0.030303030303030304,0.0196078431372549,65,29,170,26,92,2,19,5,48,0.11455727863931965,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
53,17927.41,0.8616241299303946,0.06579324841224019,0.008093434343434344,0.22425696986734306,0.0196078431372549,81,7,176,30,92,7,18,15,64,0.26600449757589073,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True
138,2110.98,0.8616241299303946,0.06579324841224019,0.008093434343434344,0.22425696986734306,0.061817023793276,81,20,176,30,92,7,18,15,64,0.26600449757589073,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False
34,17346.36,0.9400000000000001,0.44140625,0.004329004329004329,0.24926686217008798,0.0196078431372549,50,4,31,5,3,7,19,17,42,0.05952976488244122,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False
126,3171.77,0.78,0.064453125,0.008093434343434344,0.22425696986734306,0.061817023793276,81,20,176,30,92,7,18,15,64,0.26600449757589073,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False
